kata,skor,label
energi,-0.050128877,negatif
pakai,-0.02897203,negatif
hati,-0.047563076,negatif
the,-0.039214075,negatif
salah,-0.027207017,negatif
i,-0.038933992,negatif
tolong,-0.021914363,negatif
sistem,-0.04404354,negatif
habis,-0.036314487,negatif
kurang,-0.039004803,negatif
good,-0.03713572,negatif
is,-0.051455855,negatif
this,-0.05177027,negatif
you,-0.02608937,negatif
app,-0.035013497,negatif
and,-0.029966235,negatif
update,-0.026545525,negatif
ganti,-0.03456384,negatif
fitur,-0.02563572,negatif
energy,-0.036391795,negatif
for,-0.033088565,negatif
sok,-0.03342682,negatif
very,-0.042806804,negatif
best,-0.02372253,negatif
kembali,-0.03239715,negatif
like,-0.042834163,negatif
a,-0.02791357,negatif
english,-0.029227793,negatif
but,-0.031559646,negatif
nyawa,-0.029668152,negatif
tonton,-0.025022745,negatif
love,-0.027503073,negatif
heart,-0.031373203,negatif
baterai,-0.027047336,negatif
thank,-0.023241222,negatif
its,-0.027000785,negatif
me,-0.031710684,negatif
nice,-0.031567216,negatif
learn,-0.029413462,negatif
my,-0.024345756,negatif
please,-0.02167511,negatif
with,-0.028712928,negatif
learning,-0.03412217,negatif
fun,-0.033608675,negatif
batas,-0.02675426,negatif
can,-0.03137988,negatif
im,-0.024755538,negatif
system,-0.030999184,negatif
mending,-0.02528876,negatif
not,-0.025685787,negatif
application,-0.040448785,negatif
really,-0.03705126,negatif
jelek,-0.021877825,negatif
are,-0.022518873,negatif
language,-0.026955545,negatif
of,-0.027837038,negatif
happy,-0.027268827,negatif
that,-0.02417773,negatif
balikin,-0.024974048,negatif
baru,-0.020225048,negatif
why,-0.023396969,negatif
great,-0.030009389,negatif
new,-0.030377626,negatif
aneh,-0.020490706,negatif
apps,-0.023219824,negatif
because,-0.024637938,negatif
buruk,-0.021403909,negatif
study,-0.024327993,negatif
speak,-0.028068602,negatif
lesson,-0.020742655,negatif
have,-0.020891309,negatif
mode,-0.020644665,negatif
there,-0.028249621,negatif
dont,-0.027940929,negatif
jawab,-0.023030698,negatif
better,-0.023680866,negatif
boros,-0.032693624,negatif
kikir,-0.028639615,negatif
now,-0.021647096,negatif
back,-0.027947664,negatif
just,-0.023659289,negatif
use,-0.022303224,negatif
if,-0.027719975,negatif
ngisi,-0.021046102,negatif
be,-0.022711813,negatif
only,-0.02249676,negatif
was,-0.025240779,negatif
job,-0.021010935,negatif
cool,-0.03648454,negatif
on,-0.023790836,negatif
more,-0.02257955,negatif
mah,-0.024486482,negatif
diamond,-0.024586558,negatif
wrong,-0.026042044,negatif
one,-0.03001839,negatif
battery,-0.02380991,negatif
support,-0.022510827,negatif
from,-0.027050793,negatif
play,-0.023144603,negatif
maksa,-0.022006214,negatif
even,-0.021534562,negatif
cant,-0.025560439,negatif
tahan,-0.020548582,negatif
when,-0.024300814,negatif
help,-0.026335418,negatif
mood,-0.021150827,negatif
much,-0.023648083,negatif
want,-0.02267176,negatif
get,-0.024716139,negatif
bad,-0.022425234,negatif
sorry,-0.027556896,negatif
your,-0.021581113,negatif
will,-0.022494972,negatif
easy,-0.028739452,negatif
sebal,-0.02057165,negatif
bring,-0.02924949,negatif
what,-0.024297953,negatif
ads,-0.024341524,negatif
too,-0.020106792,negatif
languages,-0.020663738,negatif
lot,-0.024015725,negatif
dev,-0.020314157,negatif
think,-0.024310708,negatif
amazing,-0.03342825,negatif
any,-0.021079719,negatif
feature,-0.02651,negatif
change,-0.0234676,negatif
imut,-0.021376073,negatif
penuh,-0.020135105,negatif
at,-0.021984637,negatif
some,-0.020945787,negatif
kaya,-0.023628414,negatif
time,-0.02263689,negatif
banding,-0.027164102,negatif
well,-0.024576068,negatif
day,-0.020036638,negatif
helpful,-0.038744092,negatif
pelit,-0.036430895,negatif
ih,-0.02068454,negatif
thing,-0.02853185,negatif
after,-0.02594757,negatif
give,-0.024439871,negatif
many,-0.021703184,negatif
us,-0.021025717,negatif
kapitalis,-0.024116814,negatif
hi,-0.022626579,negatif
aplication,-0.028729677,negatif
about,-0.02261591,negatif
again,-0.021270692,negatif
still,-0.02062136,negatif
bar,-0.022516608,negatif
rang,-0.02504903,negatif
does,-0.020338416,negatif
hearts,-0.025172114,negatif
word,-0.030563533,negatif
itu,-0.023561954,negatif
kocak,-0.029448986,negatif
know,-0.027922392,negatif
smart,-0.025369525,negatif
eror,-0.021498382,negatif
ive,-0.021567106,negatif
star,-0.02660489,negatif
understand,-0.026417732,negatif
batrai,-0.021107972,negatif
answer,-0.024535656,negatif
also,-0.02117616,negatif
repot,-0.026054502,negatif
did,-0.025189102,negatif
duoo,-0.021683812,negatif
pakenya,-0.021028936,negatif
annoying,-0.035426915,negatif
same,-0.032957852,negatif
though,-0.020003498,negatif
hope,-0.043969512,negatif
ikon,-0.022084892,negatif
studying,-0.02584058,negatif
users,-0.020484924,negatif
beginner,-0.025177717,negatif
buang,-0.02282852,negatif
detik,-0.020690143,negatif
practice,-0.028971016,negatif
luck,-0.024562657,negatif
kagak,-0.02258259,negatif
gasuka,-0.020915031,negatif
health,-0.022283077,negatif
refill,-0.025070488,negatif
old,-0.025738299,negatif
finish,-0.024033308,negatif
start,-0.025593877,negatif
didnt,-0.020435572,negatif
version,-0.02058357,negatif
hatinyawa,-0.02690798,negatif
able,-0.030707657,negatif
lessons,-0.028053045,negatif
they,-0.020647168,negatif
tengah,-0.026317537,negatif
disappointed,-0.0323503,negatif
leaderboard,-0.020425439,negatif
five,-0.02407515,negatif
work,-0.021266222,negatif
topik,-0.021024346,negatif
exercise,-0.022500813,negatif
helps,-0.027147055,negatif
pinterr,-0.023266613,negatif
indonesian,-0.02676642,negatif
test,-0.020632327,negatif
find,-0.024912775,negatif
membantuuu,-0.021784723,negatif
wifi,-0.027489662,negatif
dibenerin,-0.023490429,negatif
suddenly,-0.022593975,negatif
course,-0.021644473,negatif
recharge,-0.023440242,negatif
would,-0.02126968,negatif
name,-0.023378372,negatif
little,-0.034591436,negatif
everything,-0.04401046,negatif
stars,-0.024790823,negatif
sukaaaaa,-0.023798823,negatif
helpfull,-0.03057301,negatif
opinion,-0.028790653,negatif
talk,-0.025252104,negatif
end,-0.02069521,negatif
doing,-0.02078259,negatif
aktif,-0.029316604,negatif
dear,-0.023352265,negatif
every,-0.024761558,negatif
something,-0.021488965,negatif
ill,-0.0221591,negatif
kembaliin,-0.025132954,negatif
money,-0.020794153,negatif
delete,-0.027720153,negatif
menggangu,-0.0343675,negatif
big,-0.020349622,negatif
streaks,-0.031999648,negatif
out,-0.023768008,negatif
prefer,-0.031795204,negatif
ngabisin,-0.020052075,negatif
mentok,-0.020030677,negatif
interesting,-0.025032759,negatif
had,-0.020980835,negatif
first,-0.03152758,negatif
nikmat,-0.021837175,negatif
how,-0.02189082,negatif
replacing,-0.027909279,negatif
ditengahtengah,-0.029511034,negatif
replace,-0.041045368,negatif
return,-0.020509839,negatif
bljar,-0.024447381,negatif
however,-0.020530462,negatif
song,-0.021135032,negatif
where,-0.02966535,negatif
aku,-0.020646214,negatif
woyy,-0.022388041,negatif
dualinggo,-0.02215004,negatif
getar,-0.022143245,negatif
god,-0.024293005,negatif
banyakkk,-0.04959315,negatif
limited,-0.022564113,negatif
trying,-0.022972167,negatif
who,-0.036178946,negatif
things,-0.02661568,negatif
verry,-0.022221208,negatif
baikkk,-0.02799344,negatif
made,-0.023762047,negatif
their,-0.021935046,negatif
exciting,-0.0408445,negatif
continue,-0.02466619,negatif
fantastic,-0.025986373,negatif
today,-0.022395253,negatif
goodi,-0.031628847,negatif
actually,-0.029454052,negatif
off,-0.020333767,negatif
uncomfortable,-0.034087896,negatif
next,-0.030097783,negatif
until,-0.03024441,negatif
selesain,-0.039428174,negatif
layar,-0.022106647,negatif
package,-0.02382636,negatif
hard,-0.023399115,negatif
green,-0.023354292,negatif
stage,-0.030007899,negatif
content,-0.04316151,negatif
rekom,-0.022741377,negatif
sucks,-0.039774,negatif
another,-0.022980452,negatif
material,-0.03295529,negatif
comfortable,-0.027744234,negatif
expensive,-0.023574471,negatif
bjir,-0.020518303,negatif
benerbener,-0.024184823,negatif
changing,-0.028737485,negatif
sehat,-0.020468235,negatif
run,-0.027129829,negatif
power,-0.020391047,negatif
korean,-0.025641501,negatif
features,-0.028939664,negatif
bentuk,-0.036231756,negatif
worse,-0.023318112,negatif
wanna,-0.025400102,negatif
got,-0.021767199,negatif
kapai,-0.030900955,negatif
simpul,-0.020881355,negatif
kapasitas,-0.047159493,negatif
ide,-0.02866435,negatif
try,-0.03758818,negatif
anymore,-0.021880507,negatif
watching,-0.02035129,negatif
grts,-0.052016616,negatif
years,-0.031053543,negatif
reduce,-0.026346624,negatif
patah,-0.021836877,negatif
ovo,-0.034049273,negatif
melati,-0.03735268,negatif
kuping,-0.02290535,negatif
usefull,-0.032455027,negatif
kasi,-0.039079607,negatif
ajg,-0.04216683,negatif
farsi,-0.020839393,negatif
moment,-0.031840384,negatif
meet,-0.024118185,negatif
donwlod,-0.023436844,negatif
progress,-0.028271854,negatif
belajarsaya,-0.020554245,negatif
note,-0.03665948,negatif
buta,-0.036667645,negatif
nomor,-0.025976956,negatif
halah,-0.02106601,negatif
likes,-0.044550717,negatif
cumaa,-0.02157706,negatif
hee,-0.02393955,negatif
confused,-0.020781696,negatif
alur,-0.032753468,negatif
waktu,-0.027968764,negatif
duoooo,-0.02875644,negatif
makasihhh,-0.023317933,negatif
gapapaa,-0.029552579,negatif
tlong,-0.020512223,negatif
repeated,-0.022166848,negatif
kantor,-0.026542127,negatif
student,-0.041315556,negatif
ikln,-0.03330481,negatif
netral,-0.02156514,negatif
tutur,-0.031770885,negatif
campaigns,-0.025058866,negatif
education,-0.02980268,negatif
gaming,-0.02246958,negatif
opsional,-0.021193385,negatif
anime,-0.026011288,negatif
provide,-0.024939,negatif
effective,-0.05971825,negatif
funny,-0.034154415,negatif
sabtu,-0.021014273,negatif
gede,-0.020605326,negatif
bit,-0.025984526,negatif
crazy,-0.020705879,negatif
keran,-0.039657414,negatif
gud,-0.023395717,negatif
gozaimasuu,-0.02013439,negatif
tt,-0.02391833,negatif
ever,-0.029693782,negatif
starting,-0.023134887,negatif
appear,-0.0264979,negatif
sick,-0.020177126,negatif
pause,-0.028808951,negatif
ph,-0.023169756,negatif
days,-0.0268839,negatif
adam,-0.020109832,negatif
place,-0.032921672,negatif
bisah,-0.024691105,negatif
disappointing,-0.028643072,negatif
date,-0.02068764,negatif
kuras,-0.027513921,negatif
tipu,-0.02824229,negatif
school,-0.033799052,negatif
katika,-0.025350153,negatif
sad,-0.021676779,negatif
likeeee,-0.040649593,negatif
hitam,-0.022778094,negatif
fungsi,-0.023129463,negatif
iklantapi,-0.031791985,negatif
example,-0.020562291,negatif
idk,-0.04634595,negatif
dulunya,-0.030770779,negatif
mmbntu,-0.021938443,negatif
often,-0.02119422,negatif
masya,-0.025155902,negatif
lupaa,-0.022331059,negatif
latest,-0.02134353,negatif
concept,-0.03501779,negatif
develop,-0.02133286,negatif
experience,-0.027007997,negatif
league,-0.020179749,negatif
opened,-0.02838999,negatif
choice,-0.030908585,negatif
iam,-0.0315485,negatif
easily,-0.030598104,negatif
stay,-0.022793949,negatif
loginnya,-0.025152326,negatif
tanggung,-0.025177896,negatif
ngeganggu,-0.020862699,negatif
catat,-0.021384954,negatif
contains,-0.02116245,negatif
couple,-0.027741969,negatif
pokonyaa,-0.020387113,negatif
elements,-0.020305514,negatif
disgusting,-0.029022992,negatif
tea,-0.021898687,negatif
number,-0.030699074,negatif
cannot,-0.023056686,negatif
yaudah,-0.022322059,negatif
manusiawi,-0.02066964,negatif
ist,-0.02549529,negatif
express,-0.033476233,negatif
real,-0.032978892,negatif
lazy,-0.023403764,negatif
bars,-0.022937775,negatif
question,-0.020328999,negatif
auto,-0.02120763,negatif
task,-0.023575068,negatif
sebel,-0.028076053,negatif
recent,-0.029863954,negatif
became,-0.02078873,negatif
tests,-0.020038903,negatif
charge,-0.023260236,negatif
fiturfitur,-0.024331033,negatif
apasih,-0.029782593,negatif
seruuuuuuuu,-0.0403682,negatif
include,-0.023301661,negatif
truly,-0.026747763,negatif
elgebete,-0.024173379,negatif
tried,-0.022922933,negatif
happened,-0.027965903,negatif
berjamjam,-0.028510273,negatif
energijadi,-0.03038609,negatif
begitu,-0.02420801,negatif
uninstalling,-0.034504056,negatif
goodbye,-0.023935437,negatif
selesaiin,-0.046761274,negatif
pulih,-0.02708143,negatif
persen,-0.025515854,negatif
gonta,-0.02204281,negatif
refresh,-0.024559557,negatif
makenya,-0.043926418,negatif
budek,-0.02611053,negatif
mengapaa,-0.021027029,negatif
close,-0.020739138,negatif
wont,-0.03463167,negatif
before,-0.029097676,negatif
gone,-0.023171604,negatif
almost,-0.030072153,negatif
hemat,-0.021632075,negatif
produktif,-0.022670269,negatif
albert,-0.02411884,negatif
suck,-0.03971845,negatif
come,-0.0452376,negatif
points,-0.021894753,negatif
sistim,-0.028187513,negatif
original,-0.022156,negatif
hate,-0.066556215,negatif
took,-0.043837905,negatif
miss,-0.027709186,negatif
take,-0.021340907,negatif
lost,-0.02596736,negatif
mean,-0.022736192,negatif
pah,-0.02895397,negatif
feels,-0.039503515,negatif
cute,-0.024097323,negatif
superduolingo,-0.02668488,negatif
focus,-0.021915376,negatif
rid,-0.025284767,negatif
empty,-0.035648763,negatif
walupun,-0.021313787,negatif
monoton,-0.025977671,negatif
considering,-0.020671546,negatif
